head,relation,tail,label
Rajesh Krishna BALAN,has authored,Livelabs: Building an in-situ real-time mobile experimentation testbed,1
Rajesh Krishna BALAN,has authored,CAMEO: A middleware for mobile advertisement delivery,1
Rajesh Krishna BALAN,has authored,Overcoming the challenges in cost estimation for distributed software projects,1
Rajesh Krishna BALAN,has authored,Need accurate user behaviour? pay attention to groups!,1
Rajesh Krishna BALAN,has authored,Adaptive display power management for OLED displays,1
Rajesh Krishna BALAN,has authored,Wifitrace: Network-based contact tracing for infectious diseases using passive wifi sensing,1
Rajesh Krishna BALAN,has authored,Powerful change part 2: reducing the power demands of mobile devices,1
Rajesh Krishna BALAN,has authored,The impact of process choice in high maturity environments: An empirical analysis,1
Rajesh Krishna BALAN,has authored,Livelabs: Initial reflections on building a large-scale mobile behavioral experimentation testbed,1
Rajesh Krishna BALAN,has authored,Exploiting rich mobile environments,1
Rajesh Krishna BALAN,has authored,Gameon: P2p gaming on public transport,1
Rajesh Krishna BALAN,has authored,TCP HACK: A mechanism to improve performance over lossy links,1
Rajesh Krishna BALAN,has authored,Livelabs: Building in-situ mobile sensing & behavioural experimentation testbeds,1
Rajesh Krishna BALAN,has authored,Game action based power management for multiplayer online game,1
Rajesh Krishna BALAN,has authored,The challenge of continuous mobile context sensing,1
Rajesh Krishna BALAN,has authored,Towards governance schemes for distributed software development projects,1
Rajesh Krishna BALAN,has authored,The case for mobile forensics of private data leaks: Towards large-scale user-oriented privacy protection,1
Rajesh Krishna BALAN,has authored,Spatio-temporal efficiency in a taxi dispatch system,1
Rajesh Krishna BALAN,has authored,Avoiding congestion collapse on the Internet using TCP tunnels,1
Rajesh Krishna BALAN,has authored,The digital wallet: Opportunities and prototypes,1
Rajesh Krishna BALAN,has authored,Simplifying cyber foraging,1
Rajesh Krishna BALAN,has authored,User guidance of resource-adaptive systems,1
Rajesh Krishna BALAN,has authored,IoT+ Small Data: Transforming in-store shopping analytics & services,1
Rajesh Krishna BALAN,has authored,Queuevadis: Queuing analytics using smartphones,1
Rajesh Krishna BALAN,has authored,Engagemon: Multi-modal engagement sensing for mobile games,1
Rajesh Krishna BALAN,has authored,The case for cloud-enabled mobile sensing services,1
Rajesh Krishna BALAN,has authored,Arivu: Power-aware middleware for multiplayer mobile games,1
Rajesh Krishna BALAN,has authored,TCP tunnels: avoiding congestion collapse,1
Rajesh Krishna BALAN,has authored,Graph-aided directed testing of android applications for checking runtime privacy behaviours,1
Rajesh Krishna BALAN,has authored,"Experiences with performance tradeoffs in practical, continuous indoor localization",1
Rajesh Krishna BALAN,has authored,VitaMon: measuring heart rate variability using smartphone front camera,1
Rajesh Krishna BALAN,has authored,Protocols for Low-Power,1
Rajesh Krishna BALAN,has authored,StressMon: Scalable detection of perceived stress and depression using passive sensing of changes in work routines and group interactions,1
Rajesh Krishna BALAN,has authored,Wiwear: Wearable sensing via directional wifi energy harvesting,1
Rajesh Krishna BALAN,has authored,Using infrastructure-provided context filters for efficient fine-grained activity sensing,1
Rajesh Krishna BALAN,has authored,Dimorphic computing,1
Rajesh Krishna BALAN,has authored,HuMan: Creating memorable fingerprints of mobile users,1
Rajesh Krishna BALAN,has authored,Meeting the software engineering challenges of adaptive mobile applications,1
Rajesh Krishna BALAN,has authored,Analyzing the impact of covid-19 control policies on campus occupancy and mobility via passive wifi sensing,1
Rajesh Krishna BALAN,has authored,Annapurna: building a real-world smartwatch-based automated food journal,1
Rajesh Krishna BALAN,has authored,The case for human-centric personal analytics,1
Rajesh Krishna BALAN,has authored,Experiences & challenges with server-side wifi indoor localization using existing infrastructure,1
Rajesh Krishna BALAN,has authored,Real-time detection of seat occupancy & hogging,1
Rajesh Krishna BALAN,has authored,Fogfly: A traffic light optimization solution based on fog computing,1
Rajesh Krishna BALAN,has authored,Finding small-bowel lesions: challenges in endoscopy-image-based learning systems,1
Rajesh Krishna BALAN,has authored,Cyber foraging: Fifteen years later,1
Rajesh Krishna BALAN,has authored,Experiences in building a real-world eating recogniser,1
Rajesh Krishna BALAN,has authored,Deepmon: Building mobile gpu deep learning models for continuous vision applications,1
Rajesh Krishna BALAN,has authored,Challenges and opportunities in taxi fleet anomaly detection,1
Rajesh Krishna BALAN,has authored,Pgtp: Power aware game transport protocol for multi-player mobile games,1
Rajesh Krishna BALAN,has authored,A software infrastructure for user–guided quality–of–service tradeoffs,1
Rajesh Krishna BALAN,has authored,Cloud-based query evaluation for energy-efficient mobile sensing,1
Rajesh Krishna BALAN,has authored,Arivu: Making networked mobile games green,1
Rajesh Krishna BALAN,has authored,Digital wallet: Requirements and challenges,1
Rajesh Krishna BALAN,has authored,Giving users the steering wheel for guiding resource-adaptive systems,1
Rajesh Krishna BALAN,has authored,Focusvr: Effective & usable vr display power management,1
Rajesh Krishna BALAN,has authored,LPGL: Low-power graphics library for mobile AR headsets,1
Rajesh Krishna BALAN,has authored,Design and assessment of myoelectric games for prosthesis training of upper limb amputees,1
Rajesh Krishna BALAN,has authored,Improving the performance of wlans by reducing unnecessary active scans,1
Rajesh Krishna BALAN,has authored,Annapurna: An automated smartwatch-based eating detection and food journaling system,1
Rajesh Krishna BALAN,has authored,Examining augmented virtuality impairment simulation for mobile app accessibility design,1
Rajesh Krishna BALAN,has authored,D-pruner: Filter-based pruning method for deep convolutional neural network,1
Rajesh Krishna BALAN,has authored,Towards recognition of rich non-negative emotions using daily wearable devices,1
Rajesh Krishna BALAN,has authored,Matchmaking game players on public transport,1
Rajesh Krishna BALAN,has authored,Dynamic lookahead mechanism for conserving power in multi-player mobile games,1
Rajesh Krishna BALAN,has authored,Heartquake: Accurate low-cost non-invasive ecg monitoring using bed-mounted geophones,1
Rajesh Krishna BALAN,has authored,I4S: capturing shopper's in-store interactions,1
Rajesh Krishna BALAN,has authored,Empath-d: Vr-based empathetic app design for accessibility,1
Rajesh Krishna BALAN,has authored,Jasper: Sensing gamers' emotions using physiological sensors,1
Rajesh Krishna BALAN,has authored,Smartwatch based shopping gesture recognition,1
Rajesh Krishna BALAN,has authored,"W8-Scope: Fine-grained, practical monitoring of weight stack-based exercises",1
Rajesh Krishna BALAN,has authored,New challenges in display-saturated environments,1
Rajesh Krishna BALAN,has authored,Deep ECG Wave Estimation Model with Seismograph Sensor (poster),1
Rajesh Krishna BALAN,has authored,Smart monitoring via participatory ble relaying,1
Rajesh Krishna BALAN,has authored,Empath-d: Empathetic design for accessibility,1
Rajesh Krishna BALAN,has authored,Handling location uncertainty in event driven experimentation,1
Rajesh Krishna BALAN,has authored,Deal or no deal: Catering to user preferences,1
Rajesh Krishna BALAN,has authored,Demo of mobile forensics: Identification of leak causes in mobile applications,1
Rajesh Krishna BALAN,has authored,ARIVU: Making Networked Mobile Games Green-A Scalable Power-Aware Middleware.,1
Rajesh Krishna BALAN,has authored,Multi-modal network protocols,1
Rajesh Krishna BALAN,has authored,Chameleon: A System for Adaptive QoS Provisioning,1
Rajesh Krishna BALAN,has authored,Gym Usage Behavior & Desired Digital Interventions: An Empirical Study,1
Rajesh Krishna BALAN,has authored,CryptoCurrency mining on mobile as an alternative monetization approach,1
Rajesh Krishna BALAN,has authored,myDeal: a mobile shopping assistant matching user preferences to promotions,1
Rajesh Krishna BALAN,has authored,Scalable Consistency Protocols for Massively Multiplayer Games,1
Rajesh Krishna BALAN,has authored,Performance Analysis of the Intel IXP1200 Network Processor,1
Rajesh Krishna BALAN,has authored,Tactics-Based Remote Execution for Mobile Computing. 2003,1
Rajesh Krishna BALAN,has authored,mFerio: the design and evaluation of a peer-to-peer mobile payment system (2009),1
Rajesh Krishna BALAN,has authored,Simultaneous material identification and target imaging with commodity RFID devices,1
Rajesh Krishna BALAN,has authored,Passive Detection of Perceived Stress Using Location-driven Sensing Technologies at Scale,1
Rajesh Krishna BALAN,has authored,Exploratory Analysis of Individuals' Mobility Patterns and Experienced Conflicts in Workgroups,1
Rajesh Krishna BALAN,has authored,Material Identification and Target Imaging with RFIDs [IoT Connection],1
Rajesh Krishna BALAN,has authored,Sensing gamers' emotions using physiological sensors,1
Rajesh Krishna BALAN,has authored,Smartwatch based food diary & eating analytics,1
Rajesh Krishna BALAN,has authored,Group analytics and insights for public spaces,1
Rajesh Krishna BALAN,has authored,Design and implementation of human memorable fingerprints,1
Rajesh Krishna BALAN,has authored,DEMO of Focus: A usable & effective approach to OLED display power management,1
Rajesh Krishna BALAN,has authored,Evolution of a bluetooth test application product line: a case study,1
Rajesh Krishna BALAN,has authored,IEEE Symposium on Security and Privacy,1
Rajesh Krishna BALAN,has authored,Adaptation: This Won’t Hurt a Bit!,1
Rajesh Krishna BALAN,has authored,The Case for Cyber Foraging,1
Rajesh Krishna BALAN,has authored,2021 Index IEEE Transactions on Mobile Computing Vol. 20,1
Rajesh Krishna BALAN,has authored,iMon: Appearance-based gaze tracking system on mobile devices,1
Rajesh Krishna BALAN,has authored,Detection of Social Identification in Workgroups from a Passively-sensed WiFi Infrastructure,1
Rajesh Krishna BALAN,has authored,WiSleep: Scalable Sleep Monitoring and Analytics Using Passive WiFi Sensing,1
Rajesh Krishna BALAN,has authored,Deep ECG estimation using a bed-attached geophone,1
Rajesh Krishna BALAN,has authored,A Low-power Graphics Library for Mobile AR Headset Application Development,1
Rajesh Krishna BALAN,has authored,Moved by conflict: Exploring the relationship between experienced conflict and individual mobility patterns,1
Rajesh Krishna BALAN,has authored,Using mobile technology to improve educational space usage and student engagement,1
Rajesh Krishna BALAN,has authored,Chairs' welcome,1
Rajesh Krishna BALAN,has authored,GPU-based image recognition and object detection on commodity mobile devices,1
Rajesh Krishna BALAN,has authored,Profiling power utilization behaviours of smartwatch applications,1
Rajesh Krishna BALAN,has authored,Real-world deployment of seat occupancy detectors,1
Rajesh Krishna BALAN,has authored,"LiveLabs: Building Real-World Testbeds for Mobile Sensing, Analytics, and Intervention Experiments",1
Rajesh Krishna BALAN,has authored,Graph-aided directed testing of Android applications for checking runtime privacy behaviours.(2016),1
Rajesh Krishna BALAN,has authored,Leveraging automated privacy checking for design of mobile privacy protection mechanisms,1
Rajesh Krishna BALAN,has authored,Real-time Detection for Multiple Occupancy and Near Real-time Hogging Detection,1
Rajesh Krishna BALAN,has authored,Power-efficient context sensing using mobile GPUs,1
Rajesh Krishna BALAN,has authored,Cloud-based Query Evaluation for Energy-Efficient Mobile Sensing.(2014),1
Rajesh Krishna BALAN,has authored,Mobile platform and application research at SMU LiveLabs,1
Rajesh Krishna BALAN,has authored,Demo Abstract: Group Analytics and Insights for Public Spaces,1
Rajesh Krishna BALAN,has authored,Where Am I?: Studying Users’ Indoor Navigation Location Needs,1
Rajesh Krishna BALAN,has authored,ACM HotMobile 2013 demo: Focus: a demo on usable & effective approach to OLED display power management,1
Rajesh Krishna BALAN,has authored,Pervasive Computing for Transit and Transport,1
Rajesh Krishna BALAN,has authored,Challenges and Opportunities in Taxi Fleet Anomaly Detection,1
